marker,total_occurrences,chi2,p_value,cramers_v,significant,class_frequencies,peak_class,peak_frequency,category
处罚,70,47.07043661259746,1.474261369462181e-09,0.04815211835192832,False,"{'SAME_DAY': 0.009916826615483045, 'IMMEDIATE_UPDATE': 0.0028979045920642, 'SHORT_TERM_DEV': 0.001389854065323141, 'LONG_TERM_DEV': 0.0013736263736263737, 'DISTANT_RELATED': 0.002609073778808523}",SAME_DAY,0.009916826615483045,process_verbs
造成,49,46.770828398561015,1.7020557964826576e-09,0.04799862709980244,False,"{'SAME_DAY': 0.006078055022392835, 'IMMEDIATE_UPDATE': 0.00490414623272403, 'SHORT_TERM_DEV': 0.001389854065323141, 'LONG_TERM_DEV': 0.0006868131868131869, 'DISTANT_RELATED': 0.00028989708653428034}",SAME_DAY,0.006078055022392835,backward_references
透露,54,45.132910381294096,3.730845773839788e-09,0.047150679330385956,False,"{'SAME_DAY': 0.0035188739603326936, 'IMMEDIATE_UPDATE': 0.004681230494872938, 'SHORT_TERM_DEV': 0.00660180681028492, 'LONG_TERM_DEV': 0.00034340659340659343, 'DISTANT_RELATED': 0.00028989708653428034}",SHORT_TERM_DEV,0.00660180681028492,statement_verbs
声明,120,41.63728766518301,1.9833785666442074e-08,0.045287933052988415,False,"{'SAME_DAY': 0.009596928982725527, 'IMMEDIATE_UPDATE': 0.01069995541685243, 'SHORT_TERM_DEV': 0.005211952744961779, 'LONG_TERM_DEV': 0.0027472527472527475, 'DISTANT_RELATED': 0.002754022322075663}",IMMEDIATE_UPDATE,0.01069995541685243,statement_verbs
完成,100,38.64150157851901,8.261222053959951e-08,0.04362829907637328,False,"{'SAME_DAY': 0.0003198976327575176, 'IMMEDIATE_UPDATE': 0.001560410164957646, 'SHORT_TERM_DEV': 0.006949270326615705, 'LONG_TERM_DEV': 0.008241758241758242, 'DISTANT_RELATED': 0.006957530076822728}",LONG_TERM_DEV,0.008241758241758242,completion_markers
小时,110,37.23386957813512,1.612126435476905e-07,0.042826281861891045,False,"{'SAME_DAY': 0.011516314779270634, 'IMMEDIATE_UPDATE': 0.006464556397681676, 'SHORT_TERM_DEV': 0.005559416261292564, 'LONG_TERM_DEV': 0.005151098901098901, 'DISTANT_RELATED': 0.0020292796057399622}",SAME_DAY,0.011516314779270634,time_references
称,961,34.779529929319935,5.155813661145681e-07,0.04139073498596857,False,"{'SAME_DAY': 0.05662188099808062, 'IMMEDIATE_UPDATE': 0.0577351761034329, 'SHORT_TERM_DEV': 0.04829742876997915, 'LONG_TERM_DEV': 0.04601648351648352, 'DISTANT_RELATED': 0.03652703290331932}",IMMEDIATE_UPDATE,0.0577351761034329,statement_verbs
继续,121,34.71110659086006,5.325329119415828e-07,0.04135000001093581,False,"{'SAME_DAY': 0.0022392834293026233, 'IMMEDIATE_UPDATE': 0.005572893446277307, 'SHORT_TERM_DEV': 0.010076441973592773, 'LONG_TERM_DEV': 0.011332417582417582, 'DISTANT_RELATED': 0.003913610668212784}",LONG_TERM_DEV,0.011332417582417582,update_indicators
宣布,169,31.78603316415478,2.115718121924958e-06,0.0395693986770983,False,"{'SAME_DAY': 0.0028790786948176585, 'IMMEDIATE_UPDATE': 0.004681230494872938, 'SHORT_TERM_DEV': 0.011118832522585128, 'LONG_TERM_DEV': 0.008585164835164836, 'DISTANT_RELATED': 0.011885780547905494}",DISTANT_RELATED,0.011885780547905494,statement_verbs
处理,88,31.24311844819064,2.730956557058936e-06,0.039230014807284316,False,"{'SAME_DAY': 0.007037747920665387, 'IMMEDIATE_UPDATE': 0.008024966562639322, 'SHORT_TERM_DEV': 0.002432244614315497, 'LONG_TERM_DEV': 0.001717032967032967, 'DISTANT_RELATED': 0.002609073778808523}",IMMEDIATE_UPDATE,0.008024966562639322,process_verbs
